ID,民族,人口数量,人口排名,主要分布地区1,地形结构1,微生态区1,气候带特征1,主要分布地区2,地形结构2,微生态区2,气候带特征2,主要分布地区3,地形结构3,微生态区3
CN-GLA-37,仡佬族,677521,23,贵州省,黔北喀斯特山区,乌江流域,亚热带季风气候,云南省,,大娄山脉,,广西壮族自治区,,
CN-XBE-38,锡伯族,191911,32,新疆维吾尔自治区,伊犁河谷盆地,伊犁河谷察布查尔,温带大陆性气候,辽宁省,辽河平原,辽河平原,温带季风气候,,,
CN-ACH-39,阿昌族,43775,40,云南省,中缅边境中低海拔山区,陇川盆地,热带,,,梁河高山,亚热带季风气候,,,
CN-PMI-40,普米族,45012,39,云南省,横断山区,三江并流区,高原高寒与河谷季风立体气候,四川省,,宁蒗高寒山区,,,,
CN-TJK-41,塔吉克族,50896,38,新疆维吾尔自治区,极高山谷,帕米尔高原极高海拔区,高原高寒干旱气候,,,慕士塔格峰山谷,,,,
CN-NU-42,怒族,31821,43,云南省,高黎贡山与碧罗雪山之间,怒江大峡谷,高山峡谷垂直立体气候,,,碧罗雪山,,,,高黎贡山
CN-UZB-43,乌孜别克族,12742,49,新疆维吾尔自治区,盆地边缘绿洲,塔里木盆地绿洲城市,温带极端干旱气候,,,准噶尔盆地绿洲,,,,
CN-ELS-44,俄罗斯族,16136,47,新疆维吾尔自治区,边境河谷与平原,额尔古纳河流域,温带大陆性气候,内蒙古自治区,,伊犁河谷,亚寒带气候,黑龙江省,,边境平原
CN-EWK-45,鄂温克族,34617,41,内蒙古自治区,亚寒带针叶林,大兴安岭密林,温带大陆性,黑龙江省,草原,呼伦贝尔草原,亚寒带气候,,,
CN-DNG-46,德昂族,22354,46,云南省,中缅边境中低海拔山区,德宏亚热带山林,热带,,,临沧高山区,亚热带季风气候,,,
CN-BAO-47,保安族,24434,45,甘肃省,青藏高原与黄土高原交汇带,积石山麓,温带大陆性半干旱气候,,,黄河上游谷地,,,,
CN-YGU-48,裕固族,14706,48,甘肃省,祁连山北麓,祁连山北麓,温带大陆性半干旱,,,河西走廊雪山带,高寒气候,,,荒漠草原交汇带
CN-JIN-49,京族,33112,42,广西壮族自治区,沿海岛屿,北部湾沿海三岛,亚热带海洋性季风气候,,,防城港市㵐尾/巫头/山心,,,,
CN-TAT-50,塔塔尔族,3544,55,新疆维吾尔自治区,天山北部绿洲城市,天山北部绿洲城市,温带大陆性干旱气候,,,伊宁/塔城/乌鲁木齐,,,,
CN-DRU-51,独龙族,7310,52,云南省,高黎贡山以西的高山峡谷,独龙江封闭峡谷,亚热带高山峡谷季风气候,,,高黎贡山西坡,,,,
CN-ORQ-52,鄂伦春族,9168,51,内蒙古自治区,大,大小兴安岭深处,亚寒带大陆性季风气候,黑龙江省,小兴安岭,亚寒带针叶林区,,,,
CN-HEZ-53,赫哲族,5373,53,黑龙江省,三江平原,三江平原交汇处,温带大陆性季风气候,,,黑龙江流域,,,,乌苏里江流域
CN-MBA-54,门巴族,11143,50,西藏自治区,喜马拉雅山南坡,墨脱原始森林,热带,,,喜马拉雅山南坡,亚热带高山峡谷气候,,,错那峡谷
CN-LBA-55,珞巴族,4237,54,西藏自治区,喜马拉雅山南坡,洛瑜地区原始森林,热带,,,喜马拉雅山南坡,亚热带高山峡谷气候,,,高山峡谷
CN-JNO-56,基诺族,26025,44,云南省,横断山脉余脉中低山,基诺山热带雨林,热带季风气候,,,景洪市中低山,,,,
