ID,民族,地理区位1,地理区位2,地理区位3,主食1,主食2,主食3,肉类1,肉类2,肉类3,肉类4,蔬菜1,蔬菜2,蔬菜3,酒水1,酒水2,酒水3,风味类型,辣度指标(0-5),酸度指标(0-5),特色菜肴1,特色菜肴2,特色菜肴3,特色菜肴4,特色菜肴5,禁忌1,来源1,禁忌2,来源2
CN-YAO-13,瑶族,广西壮族自治区,湖南省,云南省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-BAI-14,白族,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-TJZ-15,土家族,湖南省,湖北省,重庆市,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-HNI-16,哈尼族,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-HSK-17,哈萨克族,新疆维吾尔自治区,甘肃省,,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,手把肉,烤全羊,纳仁,马肠子,马奶酒,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-DAI-18,傣族,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,竹筒饭,撒撇,酸笋煮鸡,菠萝饭,香茅草烤鱼,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀
CN-LIZ-19,黎族,海南省,,,大米,薯芋,,海鱼,贝类,猪肉,,热带植物,椰子,槟榔,山兰酒,椰汁,,发酵极酸型,0,5,竹筒饭,鱼茶,肉茶,三色饭,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜
CN-LSU-20,傈僳族,云南省,四川省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-VA-21,佤族,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,鸡肉烂饭,牛撒撇,水酒,竹筒饭,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀
CN-SHE-22,畲族,福建省,浙江省,江西省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,乌米饭,豆腐娘,管麦竹筒饭,,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-GAO-23,高山族,台湾省,福建省,,大米,薯芋,,海鱼,贝类,猪肉,,热带植物,椰子,槟榔,山兰酒,椰汁,,发酵极酸型,0,5,竹筒饭,烤山猪肉,阿拜(麻薯),,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜
CN-LAH-24,拉祜族,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-SUI-25,水族,贵州省,广西壮族自治区,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-DXG-26,东乡族,甘肃省,新疆维吾尔自治区,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,手抓羊肉,油香,馓子,尕面片,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-NAX-27,纳西族,云南省,四川省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,丽江粑粑,吹肝,米灌肠,琵琶肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-JPO-28,景颇族,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,绿叶宴,鬼鸡,舂菜,水酒,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀
CN-KGZ-29,柯尔克孜族,新疆维吾尔自治区,黑龙江省,,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,手把肉,马肠子,纳仁,马奶酒,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-TUZ-30,土族,青海省,甘肃省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,盘肉,焜锅馍,哈力海,青稞酒,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-DAW-31,达斡尔族,内蒙古自治区,黑龙江省,新疆维吾尔自治区,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,柳蒿芽炖肉,手把肉,燕麦炒面,狍肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-MUL-32,仫佬族,广西壮族自治区,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-QIA-33,羌族,四川省,,,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,猪膘肉,洋芋糍粑,酸菜汤,咂酒,,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗
CN-BLA-34,布朗族,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,包烧,酸茶,竹筒饭,,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀
CN-SAL-35,撒拉族,青海省,甘肃省,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,手抓羊肉,馓子,油香,碗菜,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-MAO-36,毛南族,广西壮族自治区,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-GLA-37,仡佬族,贵州省,云南省,广西壮族自治区,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-XBE-38,锡伯族,新疆维吾尔自治区,辽宁省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,发面饼,炖鱼,炖肉,奶茶,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-ACH-39,阿昌族,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,过手米线,酸辣谷花鱼,,,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀
CN-PMI-40,普米族,云南省,四川省,,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,猪膘肉,烤羊肉,酥油茶,糌粑,,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗
CN-TJK-41,塔吉克族,新疆维吾尔自治区,,,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,抓饭,烤肉,奶粥,馕,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-NU-42,怒族,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,石板粑粑,漆油鸡,咕嘟酒,肉拌饭,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-UZB-43,乌孜别克族,新疆维吾尔自治区,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,抓饭,烤肉串,馕,薄皮包子,纳仁,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-ELS-44,俄罗斯族,新疆维吾尔自治区,内蒙古自治区,黑龙江省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,大列巴,罗宋汤,红肠,鱼子酱,格瓦斯,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-EWK-45,鄂温克族,内蒙古自治区,黑龙江省,,极少农作物,近代引入面食,,狍子肉,鹿肉,熊肉,鳇鱼/鲟鱼(赫哲),野生菌类,野果,浆果,桦树汁,烈性白酒(近代),,原汁极鲜型,0,0,驯鹿肉,手把肉,柳蒿芽,烤熊肉,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜
CN-DNG-46,德昂族,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,酸茶,酸笋,竹筒饭,,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀
CN-BAO-47,保安族,甘肃省,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,手抓羊肉,保安腰刀肉,油香,,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-YGU-48,裕固族,甘肃省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,手抓羊肉,酥油茶,曲拉,面条,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-JIN-49,京族,广西壮族自治区,,,大米,薯芋,,海鱼,贝类,猪肉,,热带植物,椰子,槟榔,山兰酒,椰汁,,发酵极酸型,0,5,鱼露,米粉,海鲜粥,,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜
CN-TAT-50,塔塔尔族,新疆维吾尔自治区,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,古拜底埃,伊特白里西,抓饭,馕,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规
CN-DRU-51,独龙族,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,漆油鸡,石板粑粑,打茶,,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰
CN-ORQ-52,鄂伦春族,内蒙古自治区,黑龙江省,,极少农作物,近代引入面食,,狍子肉,鹿肉,熊肉,鳇鱼/鲟鱼(赫哲),野生菌类,野果,浆果,桦树汁,烈性白酒(近代),,原汁极鲜型,0,0,手把肉,烤兽肉,桦树汁,老山芹,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜
CN-HEZ-53,赫哲族,黑龙江省,,,极少农作物,近代引入面食,,狍子肉,鹿肉,熊肉,鳇鱼/鲟鱼(赫哲),野生菌类,野果,浆果,桦树汁,烈性白酒(近代),,原汁极鲜型,0,0,塔拉哈(杀生鱼),刨花鱼,飞龙汤,鲟鳇鱼子,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜
CN-MBA-54,门巴族,西藏自治区,,,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,荞麦饼,玉米酒,奶渣,奶饼,,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗
CN-LBA-55,珞巴族,西藏自治区,,,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,烤肉,玉米酒,干肉,酥油茶,,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗
CN-JNO-56,基诺族,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,包烧,凉拌茶,竹筒肉,,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀
