ID,民族,主要地区1.1,主要地区1.2,主要乐器1,乐器发声分类1,主要材质1.1,主要材质1.2,主要材质1.3,主要使用场景1,主要地区2.1,主要地区2.2,主要乐器2,乐器发声分类2,主要材质2.1,主要材质2.2,主要使用场景2,主要地区3.1,主要地区3.2,主要乐器3,乐器发声分类3,主要材质3.1,主要材质3.2,主要使用场景3,主要地区4.1,主要地区4.2,主要乐器4,乐器发声分类4,主要材质4.1,主要材质4.2,主要使用场景4,主要地区5.1,主要地区5.2,主要乐器5,乐器发声分类5,主要材质5.1,主要材质5.2,主要使用场景5,主要地区6.1,主要乐器6,乐器发声分类6,主要材质6.1,主要使用场景6,主要地区7.1,主要乐器7,乐器发声分类7,主要材质7.1,主要材质7.2,主要使用场景7
CN-VA-21,佤族,滇西南山区,,木鼓,打击乐,木材,,,祭祀仪典,滇西南山区,,葫芦丝,管乐,竹材,木材,祭祀仪典,滇西南山区,,象脚鼓,打击乐,竹材,木材,民间节庆聚会,阿佤山区,,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-SHE-22,畲族,福建省,,竹笛,管乐,竹材,木材,,民间节庆聚会,福建省,,唢呐,管乐,金属铜,,婚丧嫁娶,福建省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,福建省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-GAO-23,高山族,台湾中央山脉,,鼻笛,管乐,竹材,木材,,民间节庆聚会,台湾中央山脉,,唢呐,管乐,金属铜,,婚丧嫁娶,台湾中央山脉,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,台湾中央山脉,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-LAH-24,拉祜族,西南横断山区,,竹笛,管乐,竹材,木材,,民间节庆聚会,西南横断山区,,唢呐,管乐,金属铜,,婚丧嫁娶,西南横断山区,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,西南横断山区,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-SUI-25,水族,西南山区,,铜鼓,打击乐,金属铜,,,祭祀仪典,西南山区,,葫芦丝,管乐,竹材,木材,祭祀仪典,西南山区,,象脚鼓,打击乐,竹材,木材,民间节庆聚会,西南山区,,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-DXG-26,东乡族,甘肃省,,竹笛,管乐,竹材,木材,,民间节庆聚会,甘肃省,,唢呐,管乐,金属铜,,婚丧嫁娶,甘肃省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,甘肃省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-NAX-27,纳西族,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-JPO-28,景颇族,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-KGZ-29,柯尔克孜族,新疆北部牧区,,克亚克,拉弦乐,木材,兽皮,马尾,民间节庆聚会,天山,阿尔泰山牧区,冬不拉,弹拨乐,木材,丝弦,民间节庆聚会,天山,阿尔泰山牧区,库姆孜,弹拨乐,木材,丝弦,戏曲说唱伴奏,新疆北部牧区,,托布秀尔,弹拨乐,木材,丝弦,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TUZ-30,土族,青海省,,竹笛,管乐,竹材,木材,,民间节庆聚会,青海省,,唢呐,管乐,金属铜,,婚丧嫁娶,青海省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,青海省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-DAW-31,达斡尔族,东北林海雪原,,木库连,弹拨乐,金属铜,,,青年传情达意,东北林海雪原,,唢呐,管乐,金属铜,,婚丧嫁娶,东北林海雪原,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,东北林海雪原,,萨满单面抓鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-MUL-32,仫佬族,广西,,竹笛,管乐,竹材,木材,,民间节庆聚会,广西,,唢呐,管乐,金属铜,,婚丧嫁娶,广西,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,广西,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-QIA-33,羌族,四川省,,羌笛,管乐,竹材,木材,,民间节庆聚会,四川省,,唢呐,管乐,金属铜,,婚丧嫁娶,四川省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,四川省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-BLA-34,布朗族,云南边境谷地,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南边境谷地,,唢呐,管乐,金属铜,,婚丧嫁娶,云南边境谷地,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南边境谷地,,象脚鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-SAL-35,撒拉族,青海省,,口弦,弹拨乐,金属铜,,,民间节庆聚会,青海省,,唢呐,管乐,金属铜,,婚丧嫁娶,青海省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,青海省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-MAO-36,毛南族,广西,,竹笛,管乐,竹材,木材,,民间节庆聚会,广西,,唢呐,管乐,金属铜,,婚丧嫁娶,广西,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,广西,,铜鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-GLA-37,仡佬族,贵州省,,竹笛,管乐,竹材,木材,,民间节庆聚会,贵州省,,唢呐,管乐,金属铜,,婚丧嫁娶,贵州省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,贵州省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-XBE-38,锡伯族,东北林海雪原,,东布尔,弹拨乐,木材,,,民间节庆聚会,东北林海雪原,,唢呐,管乐,金属铜,,婚丧嫁娶,东北林海雪原,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,东北林海雪原,,萨满单面抓鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-ACH-39,阿昌族,云南边境谷地,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南边境谷地,,唢呐,管乐,金属铜,,婚丧嫁娶,云南边境谷地,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南边境谷地,,象脚鼓,打击乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-PMI-40,普米族,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,羊皮鼓,打击乐,木材,兽皮,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TJK-41,塔吉克族,帕米尔高原,,热瓦普,弹拨乐,木材,丝弦,,民间节庆聚会,帕米尔高原,,弹布尔,弹拨乐,木材,丝弦,民间节庆聚会,帕米尔高原,,都塔尔,弹拨乐,木材,丝弦,民间节庆聚会,帕米尔高原,,达卜,弹拨乐,木材,兽皮,民间节庆聚会,帕米尔高原,,鹰笛,弹拨乐,动物骨角,树皮,民间节庆聚会,,,,,,,,,,,
CN-NU-42,怒族,云南省,怒江大峡谷,达比亚,弹拨乐,木材,,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-UZB-43,乌孜别克族,南疆绿洲,喀什,热瓦普,弹拨乐,木材,丝弦,,民间节庆聚会,吐鲁番,哈密盆地,弹布尔,弹拨乐,木材,丝弦,民间节庆聚会,吐鲁番,哈密盆地,都塔尔,弹拨乐,木材,丝弦,民间节庆聚会,南疆绿洲,喀什,达卜,弹拨乐,木材,兽皮,民间节庆聚会,新疆绿洲,,鹰笛,弹拨乐,动物骨角,树皮,民间节庆聚会,,,,,,,,,,,
CN-ELS-44,俄罗斯族,新疆,,巴拉莱卡,弹拨乐,木材,,,民间节庆聚会,新疆,,唢呐,管乐,金属铜,,婚丧嫁娶,新疆,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,新疆,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-EWK-45,鄂温克族,大兴安岭,黑龙江流域,单面手鼓,打击乐,木材,兽皮,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DNG-46,德昂族,云南边境谷地,,水鼓,打击乐,竹材,木材,,民间节庆聚会,云南边境谷地,,唢呐,管乐,金属铜,,婚丧嫁娶,云南边境谷地,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南边境谷地,,象脚鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-BAO-47,保安族,甘肃省,,竹笛,管乐,竹材,木材,,民间节庆聚会,甘肃省,,唢呐,管乐,金属铜,,婚丧嫁娶,甘肃省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,甘肃省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-YGU-48,裕固族,甘肃省,,天鹅琴,弹拨乐,木材,兽皮,,民间节庆聚会,甘肃省,,唢呐,管乐,金属铜,,婚丧嫁娶,甘肃省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,甘肃省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-JIN-49,京族,广西,,独弦琴,弹拨乐,木材,丝弦,,民间节庆聚会,广西,,唢呐,管乐,金属铜,,婚丧嫁娶,广西,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,广西,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TAT-50,塔塔尔族,新疆,,曼陀林,弹拨乐,木材,金属铜,,民间节庆聚会,新疆,,唢呐,管乐,金属铜,,婚丧嫁娶,新疆,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,新疆,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-DRU-51,独龙族,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-ORQ-52,鄂伦春族,大兴安岭,黑龙江流域,单面手鼓,打击乐,木材,兽皮,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-HEZ-53,赫哲族,大兴安岭,黑龙江流域,口弦,弹拨乐,金属铜,,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-MBA-54,门巴族,西藏,,扎木聂,弹拨乐,木材,丝弦,,祭祀仪典,西藏,,筒钦,管乐,金属铜,,民间节庆聚会,西藏,,达玛如,打击乐,木材,兽皮,民间节庆聚会,西藏,,冈洞,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-LBA-55,珞巴族,西藏,,扎木聂,弹拨乐,木材,丝弦,,祭祀仪典,西藏,,筒钦,管乐,金属铜,,民间节庆聚会,西藏,,达玛如,打击乐,木材,兽皮,民间节庆聚会,西藏,,冈洞,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-JNO-56,基诺族,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,太阳鼓,打击乐,木材,兽皮,民间节庆聚会,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
